 Rank  Case ID                          Dice_WT   Dice_TC   Dice_ET   Mean_Dice
  136  BraTS2021_01576                   0.8858    0.7996    0.6082      0.7645
  137  BraTS2021_01306                   0.8439    0.7319    0.7232      0.7663
  138  BraTS2021_00704                   0.8673    0.8865    0.5489      0.7676
  139  BraTS2021_01190                   0.8090    0.8059    0.6881      0.7677
  140  BraTS2021_00581                   0.7553    0.8658    0.6935      0.7715
  141  BraTS2021_00747                   0.8359    0.8372    0.6428      0.7720
  142  BraTS2021_00016                   0.8062    0.8660    0.6494      0.7739
  143  BraTS2021_00429                   0.7890    0.7871    0.7464      0.7742
  144  BraTS2021_00409                   0.8154    0.8110    0.6970      0.7745
  145  BraTS2021_00802                   0.7604    0.7949    0.7697      0.7750
  146  BraTS2021_01608                   0.8399    0.8312    0.6558      0.7756
  147  BraTS2021_00110                   0.8669    0.7540    0.7236      0.7815
  148  BraTS2021_00310                   0.8411    0.8367    0.6671      0.7816
  149  BraTS2021_01595                   0.8698    0.8237    0.6563      0.7833
  150  BraTS2021_01172                   0.8625    0.8602    0.6281      0.7836
  151  BraTS2021_01219                   0.6855    0.8379    0.8315      0.7850
  152  BraTS2021_00542                   0.7950    0.8486    0.7120      0.7852
  153  BraTS2021_00191                   0.8349    0.8130    0.7083      0.7854
  154  BraTS2021_01447                   0.8667    0.8069    0.6878      0.7871
  155  BraTS2021_00122                   0.8593    0.8741    0.6286      0.7873
  156  BraTS2021_01665                   0.8536    0.7536    0.7602      0.7891
  157  BraTS2021_01627                   0.8470    0.8745    0.6473      0.7896
  158  BraTS2021_01130                   0.6655    0.8825    0.8244      0.7908
  159  BraTS2021_00097                   0.8243    0.8649    0.6895      0.7929
  160  BraTS2021_00311                   0.7305    0.8876    0.7673      0.7951
  161  BraTS2021_00261                   0.8183    0.8788    0.6893      0.7954
  162  BraTS2021_00810                   0.8592    0.7743    0.7573      0.7969
  163  BraTS2021_01328                   0.9022    0.8706    0.6228      0.7985
  164  BraTS2021_01455                   0.8568    0.8378    0.7059      0.8002
  165  BraTS2021_00818                   0.8529    0.8661    0.6880      0.8024
  166  BraTS2021_00733                   0.8652    0.8836    0.6602      0.8030
  167  BraTS2021_00077                   0.8565    0.8746    0.6837      0.8049
  168  BraTS2021_01425                   0.8228    0.8300    0.7673      0.8067
  169  BraTS2021_01117                   0.8135    0.8635    0.7567      0.8112
  170  BraTS2021_01573                   0.8560    0.8065    0.7748      0.8125
  171  BraTS2021_01305                   0.8235    0.8356    0.7795      0.8129
  172  BraTS2021_01136                   0.8592    0.8722    0.7119      0.8145
  173  BraTS2021_00707                   0.7923    0.8846    0.7731      0.8167
  174  BraTS2021_01657                   0.8346    0.8358    0.7869      0.8191
  175  BraTS2021_01303                   0.8306    0.8994    0.7292      0.8198
